timestamp,gpu_vendor,gpu_utilization_percent,gpu_memory_used_mb,gpu_temperature
22:45:30,NVIDIA,3.0,247.0,44.0
22:45:31,NVIDIA,0.0,247.0,44.0
22:45:32,NVIDIA,1.0,247.0,44.0
22:45:33,NVIDIA,1.0,247.0,43.0
22:45:34,NVIDIA,1.0,247.0,43.0
22:45:35,NVIDIA,1.0,247.0,44.0
22:45:36,NVIDIA,1.0,247.0,43.0
22:45:37,NVIDIA,0.0,247.0,43.0
22:45:38,NVIDIA,1.0,247.0,43.0
22:45:39,NVIDIA,1.0,247.0,43.0
22:45:40,NVIDIA,1.0,247.0,43.0
22:45:42,NVIDIA,1.0,248.0,43.0
22:45:43,NVIDIA,1.0,248.0,43.0
22:45:44,NVIDIA,0.0,248.0,43.0
22:45:45,NVIDIA,0.0,248.0,43.0
22:45:46,NVIDIA,0.0,248.0,43.0
22:45:47,NVIDIA,0.0,248.0,43.0
22:45:48,NVIDIA,0.0,248.0,43.0
22:45:49,NVIDIA,0.0,248.0,43.0
22:45:50,NVIDIA,0.0,248.0,43.0
22:45:51,NVIDIA,0.0,248.0,43.0
22:45:52,NVIDIA,1.0,248.0,43.0
22:45:53,NVIDIA,1.0,248.0,43.0
22:45:54,NVIDIA,0.0,248.0,43.0
22:45:55,NVIDIA,1.0,248.0,43.0
22:45:56,NVIDIA,0.0,248.0,43.0
22:45:57,NVIDIA,0.0,248.0,43.0
22:45:58,NVIDIA,0.0,248.0,43.0
22:45:59,NVIDIA,0.0,248.0,43.0
22:46:00,NVIDIA,0.0,248.0,43.0
